material,Channel,Band,Recording,r,rob_r,p,q,rob_p,rob_q
Vocabulary,AF4,Delta,Eyes Closed,-0.05916911070628115,-0.17628398622792452,0.6831529211582072,0.9385727837634904,0.22072383134873277,0.7066168645869426
Vocabulary,AF4,Theta,Eyes Closed,0.03642926982986034,-0.029643280585799046,0.8016889585744221,0.9624614375586146,0.8380777705922923,0.9894986300658639
Vocabulary,AF4,Alpha,Eyes Closed,0.10548860326303187,0.03993923917012498,0.46594743965217067,0.7790220839973344,0.7830243891898383,0.933825142654774
Vocabulary,AF4,Low Beta,Eyes Closed,0.25712262839347355,0.1438358247508627,0.07145316638504286,0.15655925423390935,0.3189867228498715,0.4499011345826438
Vocabulary,AF4,Upper Beta,Eyes Closed,0.22311332288548924,0.11404579537477834,0.11936345853997891,0.33421768391194095,0.43034190250857407,0.7938801576834514
Vocabulary,AF4,High Beta,Eyes Closed,0.025702248571816647,-0.08944657981215415,0.8593711308573424,0.9582040965937343,0.5367561641864134,0.8324185188752606
Vocabulary,AF4,Gamma,Eyes Closed,-0.11364188487655846,-0.14229291085987386,0.4319873311150907,0.604782263561127,0.32425993027028355,0.6622576658370075
Vocabulary,F3,Delta,Eyes Closed,-0.20078502015654562,-0.23009886663463539,0.16207124715549162,0.9385727837634904,0.10793485615866255,0.7066168645869426
Vocabulary,F3,Theta,Eyes Closed,-0.006828636317659628,-0.008054870511405807,0.9624614375586146,0.9624614375586146,0.9557267434235728,0.9894986300658639
Vocabulary,F3,Alpha,Eyes Closed,0.06369598046114068,0.01983289304804624,0.660333001856003,0.8404238205440038,0.891263158317126,0.933825142654774
Vocabulary,F3,Low Beta,Eyes Closed,0.2348561983447634,0.20905359100622337,0.10064523486465601,0.15655925423390935,0.1451171201081818,0.4499011345826438
Vocabulary,F3,Upper Beta,Eyes Closed,0.1753143340466192,0.029359074507968323,0.22331405795677417,0.4284158479218805,0.8396096866933083,0.9000199385178053
Vocabulary,F3,High Beta,Eyes Closed,-0.03519306432604895,-0.026809043884226724,0.8082893568821778,0.9582040965937343,0.8533804388776686,0.8533804388776686
Vocabulary,F3,Gamma,Eyes Closed,-0.19063043647005612,-0.027917979389449222,0.18481821816004193,0.5809526452706186,0.8473863637980548,0.8944057227789717
Vocabulary,F4,Delta,Eyes Closed,-0.04091870152734684,-0.060939470470249765,0.7778370353000005,0.9385727837634904,0.6741937379850145,0.8752551742212553
Vocabulary,F4,Theta,Eyes Closed,0.03644456823444798,0.011316246472773617,0.8016073614904067,0.9624614375586146,0.9378308308336517,0.9894986300658639
Vocabulary,F4,Alpha,Eyes Closed,0.10483813916224677,0.059703661280314936,0.46871716982169576,0.7790220839973344,0.6804431174233377,0.933825142654774
Vocabulary,F4,Low Beta,Eyes Closed,0.27294288927731764,0.16211667780656233,0.055140042447140825,0.1543921188519943,0.26067208945127623,0.4499011345826438
Vocabulary,F4,Upper Beta,Eyes Closed,0.24859181099617278,0.11856191911317017,0.0817200471069691,0.33421768391194095,0.41218583669526565,0.7938801576834514
Vocabulary,F4,High Beta,Eyes Closed,-5.235418926719606e-4,-0.054107595311597166,0.9971209485940141,0.9971209485940141,0.7090032796475991,0.8324185188752606
Vocabulary,F4,Gamma,Eyes Closed,-0.14006433947099473,-0.01925638955355678,0.3319729401546392,0.5809526452706186,0.8944057227789717,0.8944057227789717
