material,Channel,Band,Recording,r,p,rob_r,q,rob_p,rob_q
Vocabulary,FC5,Low Beta,Eyes Open,0.04875655586009256,0.7366891411690515,0.02091299117581327,0.7366891411690515,0.8853799478622648,0.9629352661255608
Vocabulary,FC5,Upper Beta,Eyes Open,0.08465130365677181,0.5588932969632181,0.022861119543764675,0.7113187415895503,0.8747843084641518,0.9420754091152403
Vocabulary,FC5,High Beta,Eyes Open,0.005546367124237981,0.9695066534506962,-0.026850330066652797,0.9905560154893804,0.8531571275310593,0.9187845988796023
Vocabulary,FC5,Gamma,Eyes Open,-0.01878255015028307,0.8969898618782715,-0.09390347250704349,0.8969898618782715,0.516571705326947,0.6026669895481048
Vocabulary,FC6,Delta,Eyes Open,-0.16632122164007945,0.24834256490578208,-0.22395166756471538,0.8937908679033256,0.11794533338841233,0.5468190481187089
Vocabulary,FC6,Theta,Eyes Open,-0.036939422128025506,0.7989690946310816,-0.07677335504393598,0.9526466405022743,0.5961659664931889,0.994883628799534
Vocabulary,FC6,Alpha,Eyes Open,0.1101930077303506,0.4461801119051576,0.06138343649525784,0.5678655969702006,0.671953917594895,0.8189618402442945
Vocabulary,FC6,Low Beta,Eyes Open,0.10938977102814754,0.4495220964959735,0.1594614473895993,0.6103034304993638,0.26866609233885713,0.8833086969431748
Vocabulary,FC6,Upper Beta,Eyes Open,0.05396253851233394,0.7097490913662186,0.06188023197971978,0.7643451753174662,0.6694509113545821,0.9420754091152403
Vocabulary,FC6,High Beta,Eyes Open,-0.017953507876092345,0.9015136721277346,0.028404006189236015,0.9905560154893804,0.8447619381941257,0.9187845988796023
Vocabulary,FC6,Gamma,Eyes Open,-0.10104170688618445,0.48505731921329986,-0.12303036108897966,0.719974247624725,0.39466228917953683,0.6026669895481048
Vocabulary,O1,Delta,Eyes Open,-0.09619338136330394,0.5063514029253138,-0.11682407993818696,0.8937908679033256,0.4191197656501472,0.6526760773012398
Vocabulary,O1,Theta,Eyes Open,-0.04925354663964218,0.7341031311583734,-0.0023825290006447815,0.9526466405022743,0.9868985854388175,0.994883628799534
Vocabulary,O1,Alpha,Eyes Open,0.18510215066571495,0.19812253678013653,0.044212411273182324,0.3429634728811165,0.7604645659411307,0.8189618402442945
Vocabulary,O1,Low Beta,Eyes Open,0.10231958338725185,0.47952412396378585,-0.08066203288080348,0.6103034304993638,0.5776304829903671,0.8985363068739044
Vocabulary,O1,Upper Beta,Eyes Open,0.16310390295624091,0.25774095149222476,-0.04289112953376819,0.4009303689879052,0.7674200719268338,0.9420754091152403
Vocabulary,O1,High Beta,Eyes Open,-0.033447581877891215,0.8176313472588086,-0.16432751991685055,0.9905560154893804,0.25413878427820147,0.861685959092848
Vocabulary,O1,Gamma,Eyes Open,-0.10755562174630846,0.4572046242521619,-0.1787259412197578,0.719974247624725,0.21429329050438717,0.6026669895481048
Vocabulary,O2,Delta,Eyes Open,-0.043140398801719916,0.7661064582028505,-0.12418163178761038,0.8937908679033256,0.3902191978628571,0.6526760773012398
Vocabulary,O2,Theta,Eyes Open,0.025853151379389892,0.8585538778062524,0.045334661156810084,0.9526466405022743,0.7545714739877025,0.994883628799534
Vocabulary,O2,Alpha,Eyes Open,0.24246863077777095,0.08977841654847302,0.10894831363154897,0.3429634728811165,0.45136468156646814,0.8189618402442945
Vocabulary,O2,Low Beta,Eyes Open,0.28030351264074516,0.04865114718213742,0.008310649252770556,0.28249868946138296,0.9543223317241565,0.9629352661255608
Vocabulary,O2,Upper Beta,Eyes Open,0.2932378920441567,0.038759047753513964,0.0860036703654442,0.26882170049764254,0.552606922854685,0.9420754091152403
Vocabulary,O2,High Beta,Eyes Open,0.05751413571981412,0.6915674761521446,-0.07855426325741044,0.9905560154893804,0.5876446422087664,0.9187845988796023
Vocabulary,O2,Gamma,Eyes Open,-0.0813316672065572,0.5744653702214066,-0.14163810904363713,0.719974247624725,0.32651435939868834,0.6026669895481048
Vocabulary,P7,Delta,Eyes Open,-0.1228351794659753,0.395418478499197,-0.10542986308430706,0.8937908679033256,0.4661971980723142,0.6526760773012398
Vocabulary,P7,Theta,Eyes Open,-0.1713042762463469,0.2342494033566751,0.001482126906993879,0.9526466405022743,0.9918496366406213,0.994883628799534
Vocabulary,P7,Alpha,Eyes Open,0.06181374883724234,0.6697856683112039,0.04708287519997042,0.7213076427966811,0.7454189715173046,0.8189618402442945
Vocabulary,P7,Low Beta,Eyes Open,-0.053512573115334354,0.7120643062506975,-0.14738906004518718,0.7366891411690515,0.3070508823356797,0.8833086969431748
Vocabulary,P7,Upper Beta,Eyes Open,0.0010526723134780412,0.9942112018772422,-0.15939447069226959,0.9942112018772422,0.2688698213787222,0.9410443748255276
Vocabulary,P7,High Beta,Eyes Open,-0.12741965439640854,0.3778815717982743,-0.2693059584647883,0.9905560154893804,0.05859479655224833,0.8055423945487985
Vocabulary,P7,Gamma,Eyes Open,-0.1553479210722831,0.28136929498655217,-0.2806733190664991,0.719974247624725,0.04834227207578286,0.6026669895481048
Vocabulary,P8,Delta,Eyes Open,-0.0665253557947717,0.6462223328041758,-0.17196693932175325,0.8937908679033256,0.2324174541437546,0.6507688716025128
Vocabulary,P8,Theta,Eyes Open,0.09974484135393152,0.4907067844788616,-9.303921438056108e-4,0.9526466405022743,0.994883628799534,0.994883628799534
Vocabulary,P8,Alpha,Eyes Open,0.24086840958716704,0.09198323177638432,0.12972253916307935,0.3429634728811165,0.3692503900426186,0.8189618402442945
Vocabulary,P8,Low Beta,Eyes Open,0.2961807243682369,0.036756793280696275,0.1272397526660775,0.28249868946138296,0.3785608701185035,0.8833086969431748
Vocabulary,P8,Upper Beta,Eyes Open,0.3128995029016197,0.026935280686277437,0.13004053560764478,0.26882170049764254,0.36806794505339113,0.9420754091152403
Vocabulary,P8,High Beta,Eyes Open,0.0815201010981515,0.5735761485152985,-0.04650712038663987,0.9905560154893804,0.7484294747882748,0.9187845988796023
Vocabulary,P8,Gamma,Eyes Open,-0.04888633934171929,0.7360135541378894,-0.17966749369534785,0.7926299813792654,0.21184914680970754,0.6026669895481048
Vocabulary,T7,Delta,Eyes Open,0.005877872117060238,0.9676850117749564,-0.14719178208439565,0.9679279768167927,0.30770595756218405,0.6526760773012398
Vocabulary,T7,Theta,Eyes Open,-0.20177945836471592,0.15995892291130423,-0.18605533577536548,0.9526466405022743,0.19578151641647046,0.994883628799534
